"Accepted Symbol","Synonym Symbol","Scientific Name","State and Province","Category","Growth Habit","Image Gallery","Characteristics Data","Flower Color","Foliage Color","Foliage Texture","Fruit Color","Shape and Orientation"
"PLLA2","","Platanthera lacera","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NF, NS, ON, PE, QC), FRA (SPM)","Monocot","Forb/herb","Photo","","","","","",""
"PLLA13","","Platanthera ×lassenii","USA (CA)","Monocot","Forb/herb","","","","","","",""
"PLLE2","","Platanthera leucophaea","USA (IA, IL, IN, ME, MI, MO, NY, OH, OK, PA, VA, WI), CAN (ON)","Monocot","Forb/herb","","","","","","",""
"PLLI3","","Platanthera limosa","USA (AZ, NM)","Monocot","Forb/herb","","","","","","",""
"PLMA9","","Platanthera macrophylla","USA (CT, MA, MD, ME, MI, NH, NY, PA, RI, VT, WI), CAN (NB, NF, NS, ON, PE, QC)","Monocot","Forb/herb","","","","","","",""
"PLME2","","Platanthera ×media","USA (AK, CA, MA, ME, MI, MN, NH, NY, PA, VT, WI), CAN (NB, NF, ON, PE, QC, SK)","Monocot","Forb/herb","","","","","","",""
"PLNI","","Platanthera nivea","USA (AL, AR, DE, FL, GA, LA, MD, MS, NC, NJ, SC, TN, TX, VA)","Monocot","Forb/herb","","","","","","",""
"PLOB","","Platanthera obtusata","USA (AK, CO, ID, MA, ME, MI, MN, MT, NH, NY, OR, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Forb/herb","Photo","","","","","",""
"PLOBO3","","Platanthera obtusata ssp. obtusata","USA (AK, CO, ID, MA, ME, MI, MN, MT, NH, NY, OR, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Forb/herb","Photo","","","","","",""
"PLOBO2","","Platanthera obtusata ssp. oligantha","USA (AK)","Monocot","Forb/herb","","","","","","",""
"PLOR4","","Platanthera orbiculata","USA (AK, CT, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Forb/herb","","","","","","",""
"PLOS","","Platanthera ×osceola","USA (FL)","Monocot","Forb/herb","","","","","","",""
"PLPE","","Platanthera peramoena","USA (AL, AR, DC, DE, GA, IL, IN, KY, MD, MO, MS, NC, NJ, OH, PA, SC, TN, VA, WV)","Monocot","Forb/herb","Photo","","","","","",""
"PLPR4","","Platanthera praeclara","USA (IA, KS, MN, MO, ND, NE, OK, SD, WY), CAN (MB)","Monocot","Forb/herb","","","","","","",""
"PLPS2","","Platanthera psycodes","USA (CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (MB, NB, NF, NS, ON, PE, QC), FRA (SPM)","Monocot","Forb/herb","Photo","","","","","",""
"PLPU7","","Platanthera purpurascens","USA (AZ, CA, CO, NM, WY)","Monocot","Forb/herb","","","","","","",""
"PLSH4","","Platanthera ×shriveri","USA (CT, MA, MD, ME, MI, NC, NH, NY, PA, RI, VA, VT, WV), CAN (NB, NF, NS, PE)","Monocot","Forb/herb","","","","","","",""
"PLSP2","","Platanthera sparsiflora","USA (AZ, CA, CO, MT, NM, NV, OR, UT, WA)","Monocot","Forb/herb","Photo","","","","","",""
"PLSPE","","Platanthera sparsiflora var. ensifolia","USA (AZ, CO, NM, NV, OR, UT)","Monocot","Forb/herb","","","","","","",""
"PLSPS","","Platanthera sparsiflora var. sparsiflora","USA (AZ, CA, MT, NM, NV, OR, UT, WA)","Monocot","Forb/herb","","","","","","",""
"PLSP8","","Platanthera sparsiflora × tescamnis","USA (CA)","Monocot","Forb/herb","","","","","","",""
"PLST4","","Platanthera stricta","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, YT)","Monocot","Forb/herb","Photo","","","","","",""
"PLTE5","","Platanthera tescamnis","USA (AZ, CA, CO, NV, UT)","Monocot","Forb/herb","","","","","","",""
"PLTI","","Platanthera tipuloides","USA (AK)","Monocot","Forb/herb","","","","","","",""
"PLTIB","","Platanthera tipuloides var. behringiana","USA (AK)","Monocot","Forb/herb","","","","","","",""
"PLVO","","Platanthera ×vossii","USA (MA, ME, MI), CAN (NF)","Monocot","Forb/herb","","","","","","",""
"PLYO2","","Platanthera yosemitensis","USA (CA)","Monocot","Forb/herb","","","","","","",""
"PLZO","","Platanthera zothecina","USA (AZ, CO, UT)","Monocot","Forb/herb","","","","","","",""
"PLATA","","Platanus","USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV), CAN (ON)","Dicot","","Photo","","","","","",""
"PLHI","","Platanus ×hispanica","USA (CA, CT, MA, NJ, NY, PA), CAN (ON)","Dicot","Tree","","","","","","",""
"PLOC","","Platanus occidentalis","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV), CAN (ON)","Dicot","Tree","Photo","Yes","Red","Green","Coarse","Brown","Erect"
"PLRA","","Platanus racemosa","USA (CA)","Dicot","Tree","Photo","Yes","Yellow","Green","Coarse","Brown","Irregular"
"PLWR2","","Platanus wrightii","USA (AZ, NM)","Dicot","Tree","Photo","Yes","Yellow","Green","Coarse","Brown","Irregular"
"PLATE","","Plateilema","USA (TX)","Dicot","","","","","","","",""
"PLPA9","","Plateilema palmeri","USA (TX)","Dicot","Forb/herb","","","","","","",""
"PLATY15","","Platycerium","USA (HI)","Fern","","","","","","","",""
"PLBI3","","Platycerium bifurcatum","USA (HI)","Fern","Forb/herb","","","","","","",""
"PLSU13","","Platycerium superbum","USA (HI)","Fern","Forb/herb","","","","","","",""
"PLATY6","","Platycladus","USA (FL), USA+ (PR)","Gymnosperm","","","","","","","",""
"PLOR80","","Platycladus orientalis","USA (FL), USA+ (PR)","Gymnosperm","Tree, Shrub","Photo","Yes","Yellow","Green","Fine","Brown","Erect"
"PLATY4","","Platycodon","USA (NC, NY, PA)","Dicot","","","","","","","",""
"PLGR7","","Platycodon grandiflorus","USA (NC, NY, PA)","Dicot","Forb/herb","Photo","","","","","",""
"PLATY","","Platydesma","USA (HI)","Dicot","","","","","","","",""
"PLCO6","","Platydesma cornuta","USA (HI)","Dicot","Shrub","","","","","","",""
"PLCOC2","","Platydesma cornuta var. cornuta","USA (HI)","Dicot","Shrub","","","","","","",""
"PLCOD","","Platydesma cornuta var. decurrens","USA (HI)","Dicot","Shrub","","","","","","",""
"PLRE4","","Platydesma remyi","USA (HI)","Dicot","Tree, Shrub","","","","","","",""
"PLRO2","","Platydesma rostrata","USA (HI)","Dicot","Shrub","","","","","","",""
"PLSP3","","Platydesma spathulata","USA (HI)","Dicot","Tree, Shrub","","","","","","",""
"PLATY12","","Platyhypnidium","USA (NJ)","Moss","","","","","","","",""
"PLRI4","","Platyhypnidium riparioides","USA (NJ)","Moss","Nonvascular","","","","","","",""
"PLATY5","","Platyschkuhria","USA (AZ, CO, MT, NM, UT, WY)","Dicot","","","","","","","",""
"PLIN7","","Platyschkuhria integrifolia","USA (AZ, CO, MT, NM, UT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"PLIND","","Platyschkuhria integrifolia var. desertorum","USA (CO, UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"PLINI","","Platyschkuhria integrifolia var. integrifolia","USA (MT, WY)","Dicot","Subshrub, Forb/herb","","","","","","",""
"PLINO","","Platyschkuhria integrifolia var. oblongifolia","USA (AZ, CO, NM, UT)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"PLINO2","","Platyschkuhria integrifolia var. ourolepis","USA (UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"PLATY3","","Platystemon","USA (AZ, CA, DC, OR, UT)","Dicot","","","","","","","",""
"PLCA5","","Platystemon californicus","USA (AZ, CA, DC, OR, UT)","Dicot","Forb/herb","Photo","","","","","",""
"PLATY8","","Platystigma","USA (CA)","Dicot","","","","","","","",""
"PLLI4","","Platystigma linearis","USA (CA)","Dicot","Forb/herb","","","","","","",""
"PLATY7","","Platythelys","USA (FL, LA, MS)","Monocot","","","","","","","",""
"PLQU","","Platythelys querceticola","USA (FL, LA, MS)","Monocot","Forb/herb","","","","","","",""
"PLSA11","","Platythelys sagraeanus","USA (FL)","Monocot","Forb/herb","","","","","","",""
"PLAUB","","Plaubelia","USA (, FL)","Moss","","","","","","","",""
"PLSP9","","Plaubelia sprengelii","USA (, FL)","Moss","Nonvascular","","","","","","",""
"PLECO","","Plecostachys","USA (CA)","Dicot","Shrub, Subshrub","","","","","","",""
"PLSE7","","Plecostachys serpyllifolia","USA (CA)","Dicot","Shrub, Subshrub","","","","","","",""
"PLECT2","","Plectranthus","USA (FL, HI), USA+ (PR, VI)","Dicot","","","","","","","",""
"PLPA3","","Plectranthus parviflorus","USA (FL, HI)","Dicot","Forb/herb","","","","","","",""
"PLECT","","Plectritis","USA (AZ, CA, ID, MT, NV, OR, UT, WA), CAN (BC)","Dicot","","","","","","","",""
"PLCI","","Plectritis ciliosa","USA (AZ, CA, OR, WA)","Dicot","Forb/herb","","","","","","",""
"PLCIC","","Plectritis ciliosa ssp. ciliosa","USA (AZ, CA, OR, WA)","Dicot","Forb/herb","","","","","","",""
"PLCII","","Plectritis ciliosa ssp. insignis","USA (AZ, CA, OR, WA)","Dicot","Forb/herb","","","","","","",""
"PLCO4","","Plectritis congesta","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"PLCOB","","Plectritis congesta ssp. brachystemon","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"PLCOC3","","Plectritis congesta ssp. congesta","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","","","","","","",""
"PLCON","","Plectritis congesta ssp. nitida","USA (CA)","Dicot","Forb/herb","","","","","","",""
"PLMA4","","Plectritis macrocera","USA (CA, ID, MT, NV, OR, UT, WA), CAN (BC)","Dicot","Forb/herb","Photo","","","","","",""
"PLMAG","","Plectritis macrocera ssp. grayi","USA (CA, ID, MT, NV, OR, UT, WA), CAN (BC)","Dicot","Forb/herb","Photo","","","","","",""
"PLMAM2","","Plectritis macrocera ssp. macrocera","USA (CA, NV)","Dicot","Forb/herb","","","","","","",""
"PLEEA","","Pleea","USA (AL, FL, NC, SC)","Monocot","","","","","","","",""
"PLTE3","","Pleea tenuifolia","USA (AL, FL, NC, SC)","Monocot","Forb/herb","","","","","","",""
"PLEIA","","Pleiacanthus","USA (AZ, CA, ID, MT, NV, OR, UT)","Dicot","","","","","","","",""
"PLSP7","","Pleiacanthus spinosus","USA (AZ, CA, ID, MT, NV, OR, UT)","Dicot","Forb/herb, Subshrub","Photo","","","","","",""
"PLEIO","","Pleioblastus","USA (GA, TN)","Monocot","","","","","","","",""
"PLSI2","","Pleioblastus simonii","USA (GA, TN)","Monocot","Graminoid, Shrub","","","","","","",""
"PLEOM","","Pleomele","USA (HI)","Monocot","","","","","","","",""
"PLAU2","","Pleomele aurea","USA (HI)","Monocot","Tree, Subshrub","Photo","","","","","",""
"PLAU5","","Pleomele auwahiensis","USA (HI)","Monocot","Tree, Subshrub","","","","","","",""
"PLFE","","Pleomele fernaldii","USA (HI)","Monocot","Tree, Subshrub","","","","","","",""
"PLFO2","","Pleomele forbesii","USA (HI)","Monocot","Tree, Subshrub","","","","","","",""
"PLHA3","","Pleomele halapepe","USA (HI)","Monocot","Tree, Subshrub","","","","","","",""
"PLHA4","","Pleomele hawaiiensis","USA (HI)","Monocot","Tree, Subshrub","","","","","","",""
"PLEOP","","Pleopeltis","USA (, AL, AR, AZ, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NM, NY, OH, OK, SC, TN, TX, VA, WV), USA+ (PR, VI)","Fern","","","","","","","",""
"PLAS2","","Pleopeltis astrolepis","USA (FL), USA+ (PR, VI)","Fern","Forb/herb","","","","","","",""
"PLPO","","Pleopeltis polylepis","USA (TX)","Fern","Forb/herb","","","","","","",""
"PLPOE","","Pleopeltis polylepis var. erythrolepis","USA (TX)","Fern","Forb/herb","","","","","","",""
"PLPO2","","Pleopeltis polypodioides","USA (, AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NY, OH, OK, SC, TN, TX, VA, WV), USA+ (PR, VI)","Fern","Forb/herb, Vine","","","","","","",""
"PLPOM","","Pleopeltis polypodioides ssp. michauxiana","USA (AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NY, OH, OK, SC, TN, TX, VA, WV)","Fern","Forb/herb","","","","","","",""
"PLPOP","","Pleopeltis polypodioides ssp. polypodioides","USA (, IN), USA+ (PR, VI)","Fern","Forb/herb, Vine","Photo","","","","","",""
"PLRI","","Pleopeltis riograndensis","USA (AZ, NM, TX)","Fern","Forb/herb","Photo","","","","","",""
"PLEUR12","","Pleuraphis","USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT, WY)","Monocot","","","","","","","",""
"PLJA","","Pleuraphis jamesii","USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT, WY)","Monocot","Graminoid","","Yes","Yellow","Green","Medium","Brown","Erect"
"PLMU3","","Pleuraphis mutica","USA (AZ, CA, NM, OK, TX)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"PLRI3","","Pleuraphis rigida","USA (AZ, CA, NM, NV, UT)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Fine","Brown","Semi-Erect"
"PLEUR","","Pleuricospora","USA (CA, OR, WA), CAN (BC)","Dicot","","","","","","","",""
"PLFI2","","Pleuricospora fimbriolata","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","Photo","","","","","",""
"PLEUR8","","Pleuridium","USA (AL, AR, CA, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, QC)","Moss","","","","","","","",""
"PLME8","","Pleuridium mexicanum","USA (CA)","Moss","Nonvascular","","","","","","",""
"PLEUR4","","Pleurocoronis","USA (AZ, CA, NV, UT)","Dicot","","","","","","","",""
"PLPL","","Pleurocoronis pluriseta","USA (AZ, CA, NV, UT)","Dicot","Subshrub","","","","","","",""
"PLEUR2","","Pleuropogon","USA (AK, CA, OR, WA), CAN (BC, LB, NU, ON, QC), DEN (GL)","Monocot","","","","","","","",""
"PLCA6","","Pleuropogon californicus","USA (CA)","Monocot","Graminoid","Photo","","","","","",""
"PLCAC7","","Pleuropogon californicus var. californicus","USA (CA)","Monocot","Graminoid","","","","","","",""
"PLCAD","","Pleuropogon californicus var. davyi","USA (CA)","Monocot","Graminoid","","","","","","",""
"PLHO2","","Pleuropogon hooverianus","USA (CA)","Monocot","Graminoid","","","","","","",""
"PLOR3","","Pleuropogon oregonus","USA (OR)","Monocot","Graminoid","","","","","","",""
"PLRE2","","Pleuropogon refractus","USA (CA, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"PLSA","","Pleuropogon sabinei","USA (AK), CAN (LB, NU, ON, QC), DEN (GL)","Monocot","Graminoid","","","","","","",""
"PLEUR3","","Pleurothallis","USA (FL), USA+ (PR)","Monocot","","","","","","","",""
"PLGE","","Pleurothallis gelida","USA (FL), USA+ (PR)","Monocot","Forb/herb","","","","","","",""
"PLEUR10","","Pleurozium","USA (NJ)","Moss","","","","","","","",""
"PLSC70","","Pleurozium schreberi","USA (NJ)","Moss","Nonvascular","Photo","","","","","",""
"PLUCH","","Pluchea","USA (, AL, AR, AZ, CA, CT, DE, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UM, UT, VA, WI, WV), USA+ (PR, VI), CAN (ON)","Dicot","","Photo","","","","","",""
"PLCA7","","Pluchea camphorata","USA (AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)","Dicot","Forb/herb","Photo","","","","","",""
"PLCA10","","Pluchea carolinensis","USA (FL, HI, UM), USA+ (PR, VI)","Dicot","Shrub","","","","","","",""
"PLFO","","Pluchea foetida","USA (AL, AR, DE, FL, GA, LA, MD, MO, MS, NC, NJ, SC, TX, VA)","Dicot","Forb/herb","Photo","","","","","",""
"PLFOF","","Pluchea foetida var. foetida","USA (AL, AR, DE, FL, GA, LA, MD, MO, MS, NC, NJ, SC, TX, VA)","Dicot","Forb/herb","","","","","","",""
"PLFOI","","Pluchea foetida var. imbricata","USA (FL, GA, SC)","Dicot","Forb/herb","","","","","","",""
"PLIN4","","Pluchea indica","USA (HI, UM)","Dicot","Subshrub, Shrub, Forb/herb","Photo","","","","","",""
"PLLO2","","Pluchea longifolia","USA (FL)","Dicot","Forb/herb","","","","","","",""
"PLOD","","Pluchea odorata","USA (, AL, AR, AZ, CA, CT, DE, FL, GA, IL, IN, KS, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NM, NV, NY, OK, PA, RI, SC, TX, UM, UT, VA), USA+ (PR, VI), CAN (ON)","Dicot","Subshrub, Forb/herb","","","","","","",""
"PLODO","","Pluchea odorata var. odorata","USA (AL, AR, AZ, CA, FL, GA, KS, LA, MD, MS, NC, NM, NV, OK, SC, TX, UM, UT, VA), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","Yes","Purple","Green","Medium","","Erect"
"PLODS","","Pluchea odorata var. succulenta","USA (CT, DE, IL, IN, MA, MD, ME, MI, NC, NH, NJ, NY, PA, RI, VA), CAN (ON)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"PLRO","","Pluchea rosea","USA (AL, FL, GA, LA, MS, NC, SC, TX)","Dicot","Forb/herb","Photo","","","","","",""
"PLSA5","","Pluchea sagittalis","USA (AL, FL)","Dicot","Forb/herb","","","","","","",""
"PLSE","","Pluchea sericea","USA (AZ, CA, NM, NV, TX, UT)","Dicot","Shrub","Photo","","","","","",""
"PLYU","","Pluchea yucatanensis","USA (MS)","Dicot","Forb/herb","","","","","","",""
"PLUMB","","Plumbago","USA (, AZ, CA, FL, HI, LA, TX), USA+ (PR, VI)","Dicot","","Photo","","","","","",""
"PLAU6","","Plumbago auriculata","USA (CA, FL, HI, LA), USA+ (PR, VI)","Dicot","Shrub, Forb/herb, Vine","","","","","","",""
"PLSC4","","Plumbago scandens","USA (, AZ, FL, TX), USA+ (PR, VI)","Dicot","Subshrub, Shrub, Vine","Photo","","","","","",""
"PLZE","","Plumbago zeylanica","USA (HI), USA+ (VI)","Dicot","Shrub, Vine","","","","","","",""
"PLUME","","Plumeria","USA (FL, UM), USA+ (PR, VI)","Dicot","","Photo","","","","","",""
"PLOB2","","Plumeria obtusa","USA (FL, UM), USA+ (PR, VI)","Dicot","Tree","Photo","","","","","",""
"PLOBS","","Plumeria obtusa var. sericifolia","USA (FL)","Dicot","Tree","","","","","","",""
"PNEUM","","Pneumatopteris","USA (HI)","Fern","","","","","","","",""
"PNHU","","Pneumatopteris hudsoniana","USA (HI)","Fern","Forb/herb","","","","","","",""
"PNSA","","Pneumatopteris sandwicensis","USA (HI)","Fern","Forb/herb","","","","","","",""
"POA","","Poa","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","","Photo","","","","","",""
"POAB","","Poa abbreviata","USA (AK, CA, CO, ID, MT, NV, OR, UT, WY), CAN (AB, BC, NT, NU, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"POABA","","Poa abbreviata ssp. abbreviata","USA (AK), CAN (NT, NU, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"POABM","","Poa abbreviata ssp. marshii","USA (CA, ID, NV)","Monocot","Graminoid","","","","","","",""
"POABP","","Poa abbreviata ssp. pattersonii","USA (AK, CA, CO, ID, MT, NV, OR, UT, WY), CAN (AB, BC, NT, YT)","Monocot","Graminoid","","","","","","",""
"POAL2","","Poa alpina","USA (AK, CO, ID, MI, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","Photo","","","","","",""
"POAL3","","Poa alsodes","USA (CT, DE, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC), FRA (SPM)","Monocot","Graminoid","","","","","","",""
"POAN","","Poa annua","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Fine","Brown","Decumbent"
"POAR","","Poa arachnifera","USA (AL, AR, FL, GA, IL, KS, LA, MS, NC, NM, OK, SC, TN, TX)","Monocot","Graminoid","Photo","","","","","",""
"POAR2","","Poa arctica","USA (AK, CO, ID, MT, NM, NV, UT, WA, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","Yes","Purple","Green","Medium","","Erect"
"POARA","","Poa arctica ssp. aperta","USA (CO, NM, UT)","Monocot","Graminoid","","","","","","",""
"POARA2","","Poa arctica ssp. arctica","USA (AK, CO, ID, MT, NM, NV, UT, WA, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"POARG","","Poa arctica ssp. grayana","USA (CO, MT, NM, UT, WY)","Monocot","Graminoid","","","","","","",""
"POARL4","","Poa arctica ssp. lanata","USA (AK), CAN (BC, NT, NU, SK, YT), DEN (GL)","Monocot","Graminoid","","","","","","",""
"POAR23","","Poa arctostepporum","USA (AK)","Monocot","Graminoid","","","","","","",""
"POAR3","","Poa arida","USA (CO, IA, IL, IN, KS, MI, MN, MT, ND, NE, NJ, NM, OH, OK, SD, TX, WY), CAN (AB, MB, ON, QC, SK)","Monocot","Graminoid","Photo","","","","","",""
"POAR21","","Poa arnowiae","USA (ID, MT, UT, WY)","Monocot","Graminoid","","","","","","",""
"POAT","","Poa atropurpurea","USA (CA)","Monocot","Graminoid","Photo","","","","","",""
"POAU","","Poa autumnalis","USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MS, NC, NJ, OK, PA, SC, TN, TX, VA), CAN (NU, QC), DEN (GL)","Monocot","Graminoid","Photo","Yes","Green","Green","Medium","Brown","Erect"
"POBI","","Poa bigelovii","USA (AZ, CA, CO, NM, NV, OK, TX, UT)","Monocot","Graminoid","","","","","","",""
"POBO","","Poa bolanderi","USA (CA, ID, NV, OR, UT, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"POBU","","Poa bulbosa","USA (AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Fine","Brown","Decumbent"
"POCH","","Poa chaixii","USA (MN, NY), CAN (ON, QC)","Monocot","Graminoid","Photo","","","","","",""
"POCH10","","Poa chambersii","USA (OR)","Monocot","Graminoid","","","","","","",""
"POCH2","","Poa chapmaniana","USA (AL, AR, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NY, OH, OK, SC, TN, TX, VA, WV)","Monocot","Graminoid","","","","","","",""
"POCO","","Poa compressa","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Fine","Brown","Erect"
"POCO2","","Poa confinis","USA (CA, OR, WA), CAN (BC)","Monocot","Graminoid","Photo","","","","","",""
"POCU2","","Poa curtifolia","USA (WA)","Monocot","Graminoid","","","","","","",""
"POCU3","","Poa cusickii","USA (CA, CO, ID, MT, ND, NV, OR, UT, WA, WY), CAN (AB, BC, MB, SK, YT)","Monocot","Graminoid","Photo","","","","","",""
"POCUC4","","Poa cusickii ssp. cusickii","USA (CA, ID, MT, NV, OR, WA)","Monocot","Graminoid","","","","","","",""
"POCUE2","","Poa cusickii ssp. epilis","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)","Monocot","Graminoid","","","","","","",""
"POCUP3","","Poa cusickii ssp. pallida","USA (CA, CO, ID, MT, ND, NV, OR, UT, WA, WY), CAN (AB, BC, MB, SK, YT)","Monocot","Graminoid","","","","","","",""
"POCUP4","","Poa cusickii ssp. purpurascens","USA (CA, OR, WA), CAN (BC)","Monocot","Graminoid","","","","","","",""
"POCU4","","Poa cuspidata","USA (AL, DC, DE, GA, IN, KY, LA, MD, NC, NJ, NY, OH, PA, SC, TN, VA, WV)","Monocot","Graminoid","Photo","","","","","",""
"PODO","","Poa douglasii","USA (CA)","Monocot","Graminoid","Photo","","","","","",""
"POEM","","Poa eminens","USA (AK), CAN (BC, LB, NF, ON, QC)","Monocot","Graminoid","","Yes","Purple","Green","Fine","","Erect"
"POFE","","Poa fendleriana","USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB)","Monocot","Graminoid","Photo","Yes","Yellow","Green","Fine","Brown","Erect"
"POFEA","","Poa fendleriana ssp. albescens","USA (AZ, NM)","Monocot","Graminoid","","","","","","",""
"POFEF","","Poa fendleriana ssp. fendleriana","USA (AZ, CA, CO, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY), CAN (AB, BC, MB)","Monocot","Graminoid","","Yes","Yellow","Green","Fine","Brown","Erect"
"POFEL","","Poa fendleriana ssp. longiligula","USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (BC)","Monocot","Graminoid","","","","","","",""
